State ID,State Display Name,State Name,State Code,Country ID,State GUID,State Last Modified
128,Northern Territory,NT,NT,284,729A86DC-AFDE-43CE-9F87-086CB97E0C17,10/15/2014 22:13
129,Northland,Northland,NL,423,CC4BFCDF-2D10-4C7C-9071-539E976CD0D9,11/5/2014 2:01
104,Ohio,Ohio,OH,271,238BA4C0-6FFA-4FC5-A238-D74D37F5A1C9,3/13/2008 19:35
105,Oklahoma,Oklahoma,OK,271,ED0AD7C5-08A5-41C2-9E04-2532F464C678,3/13/2008 19:35
106,Oregon,Oregon,OR,271,9132D4AA-7C36-424B-8D4C-B3BDE21ADC66,3/13/2008 19:35
149,Otago,Otago,OT,423,E8E00DB4-CB50-46D0-AA22-816B3BC43DD8,11/5/2014 2:01
107,Pennsylvania,Pennsylvania,PA,271,84068AFD-706A-491D-A438-DFE6BEB57120,3/13/2008 19:35
136,Poverty Bay,PovertyBay,PB,423,4CFE291F-715A-4F9C-B4C7-6976A63F3B95,11/5/2014 2:01
122,Queensland,QLD,QLD,284,BE6782AA-8745-4AE1-8949-8F22F62ED92A,8/19/2014 5:26
108,Rhode Island,RhodeIsland,RI,271,FCC8E612-C377-4545-AFE6-DF83E485E1BB,3/13/2008 19:35
123,South Australia,SA,SA,284,224168D2-F297-46A3-ACE9-A18E9AFC862E,8/19/2014 5:26
147,South Canterbury,SouthCanterbury,SC,423,9E934CCE-C644-4277-AA0D-B746351F121E,11/5/2014 2:01
109,South Carolina,SouthCarolina,SC,271,79FA28DF-3BE6-48FE-B756-3BF855845F3D,3/13/2008 19:35
110,South Dakota,SouthDakota,SD,271,C8311535-8B9A-4E47-A61F-67E19240C659,3/13/2008 19:35
150,Southland,Southland,SL,423,62749982-33BB-41F5-8287-702C38D6B727,11/5/2014 2:01
138,Taranaki,Taranaki,TN,423,87001AB4-99A4-4494-964E-8865AED03624,11/5/2014 2:01
124,Tasmania,TAS,TAS,284,68DC2D07-0001-45EC-9414-5E5568058A06,8/19/2014 5:26
111,Tennessee,Tennessee,TN,271,39A2BE67-95E3-4BCD-B380-167327E65744,3/13/2008 19:35
112,Texas,Texas,TX,271,7F7184DB-9427-456E-A1A9-28893A496D01,3/13/2008 19:35
113,Utah,Utah,UT,271,5837C6DF-59B3-4111-9A81-94720EBE90DC,3/13/2008 19:35
115,Vermont,Vermont,VT,271,99454D1B-70CC-46DF-9C05-1B55A52A1691,3/13/2008 19:35
125,Victoria,VIC,VIC,284,02C9D422-A70C-4DB4-BAA8-6EE9835EF3CF,8/19/2014 5:26
114,Virginia,Virginia,VA,271,A13E34C8-EE8D-40EE-87DE-9F09A1A1461B,3/13/2008 19:35
131,Waikato,Waikato,WK,423,12BDC0BE-B012-4541-A81D-3E2CB126697B,11/5/2014 2:01
141,Wairarapa,Wairarapa,WR,423,E72975F1-2675-4748-B078-58CFADD7236D,11/5/2014 2:01
139,Wanganui,Wanganui,WN,423,8383937A-ABAA-433C-9A64-DD422F210A76,11/5/2014 2:01
116,Washington,Washington,WA,271,2B8693F2-8903-47B8-A6E2-87A747DC6DFB,3/13/2008 19:35
142,Wellington,Wellington,WT,423,C3F8BE16-A22E-4E47-B903-560046066784,11/5/2014 2:01
146,West Coast,WestCoast,WC,423,90A487E4-C0EF-413F-9DA2-BE66E56E6C09,11/5/2014 2:01
118,West Virginia,WestVirginia,WV,271,A68F9CDF-43C9-4F9E-A0E6-4637646C6E69,3/13/2008 19:35
126,Western Australia,WA,WA,284,D941CA6E-8CC2-4CDB-B1BB-5BF1A005163F,8/19/2014 5:26
117,Wisconsin,Wisconsin,WI,271,AD5F5946-55F2-4D84-BE6E-22B396E176CA,3/13/2008 19:35
119,Wyoming,Wyoming,WY,271,AD9B205D-5915-42F8-8E16-F9F3BD2F7420,3/13/2008 19:35
